TotalDisplacement 3348653
MaxDisplacement 389
NumCells 210904
c151970 1447 5511
c151791 1447 5715
c160597 1423 10827
c18176 1447 4467
c14431 1406 5031
c161888 1412 10779
c16285 1442 4347
c14229 1440 5259
c151636 1431 5391
c18140 1432 5151
c13544 1448 4155
c17675 1448 3975
c20914 1443 4215
c16700 1449 5247
c162671 1428 10851
c16063 1448 4551
c14676 1412 4167
c13551 1449 4119
c16019 1460 4779
c16004 1431 4935
c13919 1448 5235
c162626 1456 10623
c210540 1426 6171
c160878 1450 10587
c161390 1445 10983
c16643 1437 5151
c151975 1453 5595
c13688 1407 5103
c151052 1445 5475
c161658 1451 10695
c150938 1454 6039
c161669 1451 10599
c153863 1451 9975
c14335 1425 4023
c17244 1396 5403
c16659 1454 5163
c151924 1440 5559
c151638 1444 5439
c203192 1452 3963
c151006 1449 5451
c18147 1441 4851
c14438 1401 5019
c16985 1453 5139
c20929 1460 4239
c14854 1453 3879
c160608 1442 10803
c13993 1454 5499
c13900 1457 5271
c14416 1436 4803
c151919 1453 5619
c18178 1417 4479
c15938 1454 3843
c16696 1456 5235
c154454 1454 9723
c20481 1455 4299
c160696 1439 10863
c151001 1434 5679
c15884 1428 5079
c14862 1455 3855
c16339 1459 5439
c14311 1425 5283
c209995 1434 6627
c209800 1434 6459
c14227 1458 5175
c13965 1443 5331
c151528 1451 5691
c151489 1448 5523
c151960 1459 5547
c16356 1415 5427
c2959 1432 4539
c16548 1453 5355
c15523 1456 4695
c161673 1456 10647
c15863 1456 5067
c14087 1415 5103
c151232 1454 5775
c13775 1464 5259
c16681 1453 5379
c161764 1457 10743
c14420 1457 4983
c151691 1459 5691
c209749 1449 5679
c17669 1453 4095
c160526 1458 10731
c154320 1458 9843
c14084 1458 4899
c16026 1433 4923
c17832 1448 4647
c161716 1459 10935
c162103 1466 10839
c18120 1433 5043
c161741 1459 10659
c151035 1461 5487
c152065 1428 5427
c161911 1433 10851
c162111 1459 10671
c18048 1459 4011
c154360 1460 9603
c13696 1440 5079
c20500 1460 4275
c152066 1460 5571
c161421 1460 10971
c14660 1436 4767
c16264 1431 4263
c151113 1436 6171
c13694 1465 5271
c13597 1466 5355
c16292 1434 4515
c151021 1460 5475
c151385 1461 6087
c13680 1461 5055
c16496 1448 5319
c128685 1398 6759
c209795 1434 6507
c13588 1404 5403
c17071 1451 5331
c13678 1446 5199
c16648 1412 5211
c17030 1460 5319
c14434 1448 5079
c151417 1462 5607
c19118 1443 4263
c151313 1448 5559
c17105 1432 5307
c161391 1459 11019
c15942 1439 4515
c16013 1463 4587
c162041 1463 10995
c209762 1446 5391
c18221 1454 5199
c17052 1455 5343
